cod interno do cliente,Descrição,codigo fornecedores,Detalhe,Aplicação,Diam.Copinho,Diam.Rolamento,Face a Face Cruzeta
050.43I.HDS,COLUNA DE DIRECAO,CDI1041,MONTA LADO1=SEM JUNTA LADO2=HJU884/MEDE 877.00mm FACE A FACE FECHADO,SCANIA R124,19.00mm,,47.00mm
050.43I.STH,COLUNA DE DIRECAO,RCD123,MONTA LADO1=SEM JUNTA LADO2=HJU884/MEDE 877.00mm FACE A FACE FECHADO,SCANIA R124,19.00mm,,47.00mm
050.43J.STH,COLUNA DE DIRECAO,RCD124,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 960.00mm FACE A FACE FECHADO,MB O500RSD VERTICAL,19.00mm,,47.00mm
050.43L.SPI,COLUNA DE DIRECAO,2106.1104/01X,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 1007.00mm FACE A FACE FECHADO,SCANIA T114/SCANIA T124,19.00mm,,47.00mm
050.43L.STH,COLUNA DE DIRECAO,RCD125,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 1007.00mm FACE A FACE FECHADO,SCANIA T114/SCANIA T124,19.00mm,,47.00mm
050.43M.STH,COLUNA DE DIRECAO,RCD126,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 1530.00mm FACE A FACE FECHADO,VOLVO NH12,19.00mm,,47.00mm
050.43N.STH,COLUNA DE DIRECAO,RCD127,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 895.00mm FACE A FACE FECHADO,VOLVO FH12,19.00mm,,47.00mm
050.43N1.STH,COLUNA DE DIRECAO,RCD199,MONTA LADO1=HJU884 LADO2=HJU884/MEDE 900.00mm FACE A FACE FECHADO,VOLVO FH380/FH400,19.00mm,,47.00mm
050.43O.SPI,COLUNA DE DIRECAO,2106.1022/10X,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 1071.00mm FACE A FACE FECHADO,VOLVO NL12/VOLVO EDC360,19.00mm,,47.00mm
050.43O.STH,COLUNA DE DIRECAO,RCD128,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 1071.00mm FACE A FACE FECHADO,VOLVO NL12/VOLVO EDC360,19.00mm,,47.00mm
050.43P.SPI,COLUNA DE DIRECAO,2106.1105/01X,MONTA LADO1=HJU884 LADO2=RJU861/MEDE 480.00mm FACE A FACE FECHADO,MB 712C/MB 914C/MB LO814,19.00mm,,47.00mm
050.43P.STH,COLUNA DE DIRECAO,RCD129,MONTA LADO1=HJU884 LADO2=RJU861/MEDE 472.00mm FACE A FACE FECHADO,MB 712C/MB 914C/MB LO814,19.00mm,,47.00mm
050.43Q.SPI,COLUNA DE DIRECAO,2106.1022/03X,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 540.00mm FACE A FACE FECHADO,VOLVO B10M VERTICAL,19.00mm,,47.00mm
